# HEGEL:: NS fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  rho  p  T  H  M  u  v
  0.40061956E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31622226E+06   0.49564497E+00  -0.17210032E+03   0.17210032E+03
  0.40063605E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31702102E+06   0.50883609E+00  -0.17668061E+03   0.17668061E+03
  0.40065295E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31786152E+06   0.52235699E+00  -0.18137541E+03   0.18137541E+03
  0.40067027E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31874591E+06   0.53621592E+00  -0.18618757E+03   0.18618757E+03
  0.40068803E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31967644E+06   0.55042132E+00  -0.19112004E+03   0.19112004E+03
  0.40070623E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.32065548E+06   0.56498185E+00  -0.19617582E+03   0.19617582E+03
  0.40072488E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.32168552E+06   0.57990639E+00  -0.20135800E+03   0.20135800E+03
  0.40074401E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.32276919E+06   0.59520405E+00  -0.20666973E+03   0.20666973E+03
  0.40076361E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.32390923E+06   0.61088416E+00  -0.21211425E+03   0.21211425E+03
  0.40078370E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.32510853E+06   0.62695626E+00  -0.21769489E+03   0.21769489E+03
  0.40080429E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.32637014E+06   0.64343017E+00  -0.22341504E+03   0.22341504E+03
  0.40082539E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.32769725E+06   0.66031592E+00  -0.22927819E+03   0.22927819E+03
  0.40084703E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.32909320E+06   0.67762382E+00  -0.23528793E+03   0.23528793E+03
  0.40086921E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.33056155E+06   0.69536441E+00  -0.24144791E+03   0.24144791E+03
  0.40089194E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.33210598E+06   0.71354852E+00  -0.24776189E+03   0.24776189E+03
  0.40091523E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.33373039E+06   0.73218724E+00  -0.25423371E+03   0.25423371E+03
  0.40093911E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.33543888E+06   0.75129192E+00  -0.26086734E+03   0.26086734E+03
  0.40096359E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.33723576E+06   0.77087422E+00  -0.26766680E+03   0.26766680E+03
  0.40098868E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.33912553E+06   0.79094607E+00  -0.27463625E+03   0.27463625E+03
  0.40101440E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.34111297E+06   0.81151972E+00  -0.28177994E+03   0.28177994E+03
  0.40104076E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.34320304E+06   0.83260772E+00  -0.28910221E+03   0.28910221E+03
  0.40106778E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.34540102E+06   0.85422291E+00  -0.29660755E+03   0.29660755E+03
  0.40109547E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.34771240E+06   0.87637848E+00  -0.30430052E+03   0.30430052E+03
  0.40112386E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.35014299E+06   0.89908794E+00  -0.31218581E+03   0.31218581E+03
  0.40115296E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.35269887E+06   0.92236514E+00  -0.32026824E+03   0.32026824E+03
  0.40118278E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.35538645E+06   0.94622427E+00  -0.32855272E+03   0.32855272E+03
  0.40121335E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.35821244E+06   0.97067988E+00  -0.33704432E+03   0.33704432E+03
  0.40124468E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.36118391E+06   0.99574688E+00  -0.34574821E+03   0.34574821E+03
  0.40127680E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.36430830E+06   0.10214405E+01  -0.35466969E+03   0.35466969E+03
  0.40130972E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.36759339E+06   0.10477766E+01  -0.36381422E+03   0.36381422E+03
  0.40134346E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.37104740E+06   0.10747710E+01  -0.37318735E+03   0.37318735E+03
  0.40137805E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.37467894E+06   0.11024402E+01  -0.38279481E+03   0.38279481E+03
  0.40141350E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.37849705E+06   0.11308013E+01  -0.39264246E+03   0.39264246E+03
  0.40144984E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.38251127E+06   0.11598713E+01  -0.40273631E+03   0.40273631E+03
  0.40148709E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.38673157E+06   0.11896681E+01  -0.41308249E+03   0.41308249E+03
  0.40152526E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.39116848E+06   0.12202098E+01  -0.42368734E+03   0.42368734E+03
  0.40156439E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.39583302E+06   0.12515150E+01  -0.43455730E+03   0.43455730E+03
  0.40160450E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.40073680E+06   0.12836029E+01  -0.44569901E+03   0.44569901E+03
  0.40164562E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.40589201E+06   0.13164930E+01  -0.45711927E+03   0.45711927E+03
  0.40168776E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.41131145E+06   0.13502053E+01  -0.46882503E+03   0.46882503E+03
  0.40173095E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.41700859E+06   0.13847604E+01  -0.48082344E+03   0.48082344E+03
  0.40177522E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.42299756E+06   0.14201794E+01  -0.49312180E+03   0.49312180E+03
  0.40182060E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.42929322E+06   0.14564839E+01  -0.50572763E+03   0.50572763E+03
  0.40186712E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.43591118E+06   0.14936960E+01  -0.51864860E+03   0.51864860E+03
  0.40191480E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.44286786E+06   0.15318384E+01  -0.53189259E+03   0.53189259E+03
  0.40196367E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.45018050E+06   0.15709344E+01  -0.54546769E+03   0.54546769E+03
  0.40201376E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.45786720E+06   0.16110077E+01  -0.55938216E+03   0.55938216E+03
  0.40206510E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.46594700E+06   0.16520829E+01  -0.57364449E+03   0.57364449E+03
  0.40211773E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.47443991E+06   0.16941850E+01  -0.58826338E+03   0.58826338E+03
  0.40217167E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.48336692E+06   0.17373396E+01  -0.60324775E+03   0.60324775E+03
  0.40222697E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.49275014E+06   0.17815731E+01  -0.61860672E+03   0.61860672E+03
  0.40228364E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.50261275E+06   0.18269124E+01  -0.63434967E+03   0.63434967E+03
