# HEGEL:: NS surface quantity file for 'WALL' patch
# x [m]  r [m]  qn [W/m^2]  p [Pa]  T [K]  tau_xx [Pa]  tau_xy [Pa]  tau_yy [Pa]
 -0.15874880E+00   0.25454521E+00   0.39207908E+05   0.22918398E+04   0.30736281E+03  -0.20148332E+02   0.97556544E+01   0.20228938E+02
 -0.15473100E+00   0.25700733E+00   0.38605175E+05   0.21999080E+04   0.30724225E+03  -0.19914438E+02   0.10431298E+02   0.19993200E+02
 -0.15067501E+00   0.25940603E+00   0.38006789E+05   0.21103268E+04   0.30711904E+03  -0.19635294E+02   0.11088921E+02   0.19712163E+02
 -0.14658185E+00   0.26174073E+00   0.37378356E+05   0.20231211E+04   0.30699329E+03  -0.19328468E+02   0.11735666E+02   0.19403349E+02
 -0.14245252E+00   0.26401085E+00   0.36755550E+05   0.19383067E+04   0.30686499E+03  -0.18978130E+02   0.12359438E+02   0.19050974E+02
 -0.13828805E+00   0.26621582E+00   0.36102944E+05   0.18558916E+04   0.30673415E+03  -0.18601643E+02   0.12968566E+02   0.18672372E+02
 -0.13408945E+00   0.26835511E+00   0.35457298E+05   0.17758786E+04   0.30660080E+03  -0.18183971E+02   0.13549962E+02   0.18252535E+02
 -0.12985777E+00   0.27042819E+00   0.34782303E+05   0.16982665E+04   0.30646490E+03  -0.17742070E+02   0.14113055E+02   0.17808407E+02
 -0.12559405E+00   0.27243455E+00   0.34115815E+05   0.16230500E+04   0.30632646E+03  -0.17261869E+02   0.14643904E+02   0.17325931E+02
 -0.12129934E+00   0.27437369E+00   0.33420644E+05   0.15502202E+04   0.30618558E+03  -0.16759832E+02   0.15153016E+02   0.16821577E+02
 -0.11697470E+00   0.27624512E+00   0.32735704E+05   0.14797658E+04   0.30604229E+03  -0.16222959E+02   0.15625733E+02   0.16282339E+02
 -0.11262120E+00   0.27804840E+00   0.32023138E+05   0.14116716E+04   0.30589674E+03  -0.15667115E+02   0.16073596E+02   0.15724112E+02
 -0.10823991E+00   0.27978308E+00   0.31322668E+05   0.13459191E+04   0.30574897E+03  -0.15080545E+02   0.16481478E+02   0.15135112E+02
 -0.10383191E+00   0.28144872E+00   0.30595970E+05   0.12824862E+04   0.30559905E+03  -0.14478346E+02   0.16861842E+02   0.14530490E+02
 -0.99398301E-01   0.28304492E+00   0.29883399E+05   0.12213465E+04   0.30544703E+03  -0.13850098E+02   0.17199331E+02   0.13899775E+02
 -0.94940162E-01   0.28457128E+00   0.29146230E+05   0.11624703E+04   0.30529300E+03  -0.13210012E+02   0.17507246E+02   0.13257257E+02
 -0.90458598E-01   0.28602743E+00   0.28425326E+05   0.11058239E+04   0.30513704E+03  -0.12549001E+02   0.17770180E+02   0.12593770E+02
 -0.85954715E-01   0.28741301E+00   0.27681663E+05   0.10513699E+04   0.30497932E+03  -0.11880281E+02   0.18002175E+02   0.11922639E+02
 -0.81429623E-01   0.28872767E+00   0.26956386E+05   0.99906819E+03   0.30481992E+03  -0.11196064E+02   0.18187937E+02   0.11235969E+02
 -0.76884441E-01   0.28997109E+00   0.26210412E+05   0.94887540E+03   0.30465906E+03  -0.10508446E+02   0.18342091E+02   0.10545992E+02
 -0.72320288E-01   0.29114296E+00   0.25484846E+05   0.90074541E+03   0.30449683E+03  -0.98109283E+01   0.18449678E+02   0.98460735E+01
 -0.67738291E-01   0.29224300E+00   0.24740786E+05   0.85463070E+03   0.30433356E+03  -0.91143481E+01   0.18525663E+02   0.91472140E+01
 -0.63139581E-01   0.29327094E+00   0.24019058E+05   0.81048147E+03   0.30416936E+03  -0.84134457E+01   0.18555620E+02   0.84439907E+01
 -0.58525291E-01   0.29422651E+00   0.23281154E+05   0.76824619E+03   0.30400468E+03  -0.77177566E+01   0.18554697E+02   0.77461295E+01
 -0.53896562E-01   0.29510949E+00   0.22567266E+05   0.72787246E+03   0.30383961E+03  -0.70231639E+01   0.18509142E+02   0.70493215E+01
 -0.49254535E-01   0.29591965E+00   0.21839697E+05   0.68930718E+03   0.30367469E+03  -0.63378356E+01   0.18434020E+02   0.63619511E+01
 -0.44600355E-01   0.29665680E+00   0.21137544E+05   0.65249628E+03   0.30351002E+03  -0.56587276E+01   0.18316473E+02   0.56807552E+01
 -0.39935170E-01   0.29732075E+00   0.20424285E+05   0.61738526E+03   0.30334614E+03  -0.49926296E+01   0.18171248E+02   0.50127639E+01
 -0.35260132E-01   0.29791135E+00   0.19737507E+05   0.58391953E+03   0.30318314E+03  -0.43374386E+01   0.17986478E+02   0.43556308E+01
 -0.30576394E-01   0.29842844E+00   0.19042203E+05   0.55204500E+03   0.30302152E+03  -0.36985804E+01   0.17776274E+02   0.37150428E+01
 -0.25885111E-01   0.29887189E+00   0.18373942E+05   0.52170902E+03   0.30286134E+03  -0.30747281E+01   0.17529592E+02   0.30894095E+01
 -0.21187442E-01   0.29924161E+00   0.17699162E+05   0.49286356E+03   0.30270306E+03  -0.24699453E+01   0.17258868E+02   0.24830731E+01
 -0.16484546E-01   0.29953749E+00   0.17049993E+05   0.46547379E+03   0.30254655E+03  -0.18834111E+01   0.16951303E+02   0.18949409E+01
 -0.11777581E-01   0.29975947E+00   0.16391311E+05   0.43954343E+03   0.30239377E+03  -0.13178045E+01   0.16609300E+02   0.13280003E+01
 -0.70677115E-02   0.29990748E+00   0.15740341E+05   0.41518720E+03   0.30224247E+03  -0.77308241E+00   0.16190856E+02   0.78202619E+00
 -0.23560976E-02   0.29998149E+00   0.15024940E+05   0.39777860E+03   0.30214805E+03  -0.26317204E+00   0.15510940E+02   0.28229946E+00
